# path_pattern	surface	expected_count	ztool_context_sha256	reason
# Generated by tools/check_visible_brand_boundary.py --write-allowlist.
# Every entry is a reviewed internal/historical compatibility exception, not a public brand approval.
.agents/skills/solidworks-ztool-testing/SKILL.md	content	25	aae8c062907b388a40c18430366d38d5d32e5ea867db62245a25ea0a31583d6d	reviewed internal legacy reference; changes require brand-boundary review
.github/workflows/client-src-addin.yml	content	13	634288db74e99aee19df94870ca83c8c3c75ee9e653c034820b920d063ca3fe4	automation/test code references legacy compatibility name
.github/workflows/client-src.yml	content	2	9623a01cf5026c446d37fe3ef5650190268b290c5cfba28f661ab69836be4785	automation/test code references legacy compatibility name
.github/workflows/compliance.yml	content	2	138d42fccbeb4dd241019f82da5616f11f18dab94214bddbe407ec18909ab992	automation/test code references legacy compatibility name
.github/workflows/release-acceptance.yml	content	2	9623a01cf5026c446d37fe3ef5650190268b290c5cfba28f661ab69836be4785	automation/test code references legacy compatibility name
.github/workflows/release-hardening.yml	content	2	138d42fccbeb4dd241019f82da5616f11f18dab94214bddbe407ec18909ab992	automation/test code references legacy compatibility name
AUDIT_REPORT_RU.md	content	20	a301f7139557ead20716039011dcd064d41f4803a961851c6d11b298f0bdb2df	reviewed internal legacy reference; changes require brand-boundary review
AUDIT_ru.md	content	24	c898d6ba78c219a26d089a412cc319965835cf79340bed2439bd31f35dccfa96	reviewed internal legacy reference; changes require brand-boundary review
Directory.Build.targets	content	2	23cfa54659991f5be2a1859826cce9ada0e0179d8b53f0b9685b67904d6c5946	reviewed internal legacy reference; changes require brand-boundary review
LICENSING_audit_ru.md	content	38	eed3ac8436aa9c3aa8f662d23328d42b5899de517fc87ca87d5b9fccdb720504	reviewed internal legacy reference; changes require brand-boundary review
LICENSING_migration_plan_ru.md	content	13	e59fab2d48916e6ffb8d66e5578d6e3a2a24d4ec015b6dd36e38d7087c530ace	reviewed internal legacy reference; changes require brand-boundary review
SolidWorksTemplates/template.asmprp	content	4	68239acd5059996edf24535f65f72a0327f02a16038628635591381613a3a52e	reviewed internal legacy reference; changes require brand-boundary review
SolidWorksTemplates/template.prtprp	content	5	7bccd6f9ad5327707850b35efe15332981463e6d67d7b035c7f2ead62b07b046	reviewed internal legacy reference; changes require brand-boundary review
client-core/README.md	content	64	a3086bcb0ccb9ce36a41fb5858c73b9d105f2589a2016f930527d42fc9ffc539	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/ZTool.Core.csproj	content	9	bf6a2a70e74837c8bd90df66b93c82f1532fd9ca5a42878d5a38d374f618d36f	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/ZTool.Core.csproj	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-core/build-inputs.json	content	2	5a1582bb3813a8fb9af3ad9aaa6deac6d68bcd6f7f2a7a92d076adf028177e80	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/build.ps1	content	13	ffda1d25b4aa8b89b7169971e0e24005b7480d11cdc021b9eb74edae0c67f2a7	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/ref/ZTool.public.dll	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-core/ref/ZTool_rsa.dll	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-core/src/GetRegistrycreatedtime.cs	content	1	8a01477ea08abf75ce441282ed48aed322a93b541456ed4d3b0efb178a2ca8fc	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/src/SR.cs	content	19	48b0a058fbe2f5704ab0fbf8da4bbf93e13f63de00aa4b1078b6616860c4dae2	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/src/SecurityCenter.cs	content	1	8a01477ea08abf75ce441282ed48aed322a93b541456ed4d3b0efb178a2ca8fc	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/src/TCPClient.cs	content	2	b08a5caf325d4a0c194ea5ef906582eb0d68360f5c9aaf02a9a0f3419d707839	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/AddinBrandPatch/Program.cs	content	7	311e7e9ec2161868ab63ce1bdabc0046508caab620265e337039c3c929fb3e4b	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/BinderInject/Program.cs	content	11	154e4c004d7fe747173de82b559c95be7b676059233ef82fdf7cf7e10054a783	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/BinderInject/README.md	content	14	351312fea85ff44d8dd4b5af3c4df5e1811957b5ba8cda8e9624522c11210039	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/BinderInject/donor/Donor.csproj	content	4	9fc1aaf3e1e95afc300b2db93691e5712e9e77f83fb49717a7f29dbdbf07c01e	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/BinderInject/donor/SafeListBinder.cs	content	1	dfa5aa1759d0ba31a37d87fb55719cc5547803512c66fb7414fe6780ce1b4516	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/BinderInject/donor/VTBinder.cs	content	4	0b08bcf758dab9bc62138d2e3b80dee63079220168ef7c108f9e2306b85f2c6e	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/Deobfuscator/Program.cs	content	3	0eadbce035fc83fa391cf97304fcdbe0e9b8dfd6e6af0fdbd78ce5b26412f6a2	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/Localizer/LocalizationMap.cs	content	1	9e129ddb9f555bedd535a69d2ee3b7d35f98016b62ce3f0d930de7407ef2c2a5	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/Localizer/Program.cs	content	50	d0f64c5b168641792086d0f9e6801b02ef6c519bab93b91ea97aa9083413c1c8	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/Localizer/translations.tsv	content	1	1dbb94d01864dd57701ce0d64fc53dbecc79a661da447387a854f6faf6b6ea55	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/NullModalGuard/Program.cs	content	2	5a0907d5ff8b8782f1a2259831e1901eeb254ed35ac420e6fd6bda5a22b001c0	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/PmpGuardPatch/Program.cs	content	1	9f686aa3b02ebc67589be83bb3c6a4d37ff4cbfddb31f71ca37dcb3b5051853f	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/Reinjector/Program.cs	content	14	ae41b1b64fd9c1cb5f96d2ffdb06cde71982d3be84ebeffe8e8e61d42ff6776f	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/RenameAssembly/Program.cs	content	6	23327b924c65185132d4fecee0006e9ca10a8c175be35fafb5331a82e52348a4	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/check_bom_template.py	content	14	abf153d004e5d6f954d475828123d3a7e3ae249bff5e0b5ce48fe92e34f7ec42	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/fix_filter_rules.py	content	5	b5f5ab8aece17e82cedb63bccaa13c927b56a8d40795a92944acc512b1d5d75d	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/fix_template_format.py	content	5	cb2087bc58612f59af303d2bb5b419747658800741c1b932ce92c79c9e9849f7	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/gen_dist_profile.ps1	content	9	52c048ea3f968424d7e6e918da6ff5d223e03ea4a3e7ba0acddb2c3623e05ca3	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/localization_scan.py	content	3	827e7371867f69c1888fc510078e374de53320b423b1d3283da727247a1617d2	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/make_bom_preview.py	content	1	d5b615430f9987657d3dfc110b0925befe481f58ccf657009230bf599d67357a	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/run_all_bom_exports.ps1	content	4	432cf8d4fa342620c5c904ca0577dec477c13c0e43f9a8b616f1a82c44531362	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/russify_bom_defined_names.py	content	1	2242cafff13ae9bd9b5152879b0e1caf71de9ca61263610749eb5790fd611c69	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/russify_demo_properties.py	content	1	c02e51b5b4ec924c89f95f94242f161119b1713743b65b63875d6921ba52a5cc	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/set_bom_template_path.ps1	content	9	cbb9f50ea39aa6270fa7955377ed5d52ee909fac7ed1d8ee750357bc2a2e785c	source compatibility / recovered legacy identity; visible strings remain separately gated
client-core/tools/validate_bom_exports.py	content	2	0b9da461b955c41c1602fff9b788e33e6f0eca13d47b9e0066324d8ee68dfa4e	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/Type_16.cs	content	4	4bae7c01b1745619b10155a978f37a8cb3d4fbcb4764bd8f9dc6fa16172c8b1c	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/Type_26.cs	content	1	22e22aed2d1996a8d5a92fa048530e214b325b74a44758d85bf52df531f997a6	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/ZTool.AddinIcon.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.CustomFileBorser/FileBorser.cs	content	1	601ab11cb2b9d24d7c549532bc0bb8611bbbc97411de8efd5f66f43c771d9003	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/ZTool.CustomFileBorser/FileBorser.cs	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.CustomFileBorser/FolderNameEditor.cs	content	1	601ab11cb2b9d24d7c549532bc0bb8611bbbc97411de8efd5f66f43c771d9003	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/ZTool.CustomFileBorser/FolderNameEditor.cs	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.Frm_SN.resx	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.MainIconLarge_24.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.MainIconLarge_32.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.MainIconSmall_16.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.MyResources.resx	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.ReName.resx	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.SwAddin.csproj	content	35	5577efc683a34892b1fed8973bb7ffd58501d4b012d537970fcd856ee51062b7	source compatibility / recovered legacy identity; visible strings remain separately gated
client-src-addin/ZTool.SwAddin.csproj	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.ToolbarLarge_24.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.ToolbarLarge_32.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.ToolbarSmall_16.bmp	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupicon_16.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupicon_24.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupicon_32.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupiconlist_16.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupiconlist_24.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
client-src-addin/ZTool.flyGroupiconlist_32.png	path	1	-	internal compatibility path/resource identity; not user-facing by itself
